Serie,Rust,Deno
0,17,141
1,17,117
2,16,117
3,16,115
4,19,119
5,18,117
6,17,117
7,18,114
8,18,118
9,18,118
10,19,118
11,17,116
12,15,114
13,16,115
14,18,116
15,16,114
16,16,116
17,17,117
18,16,115
19,15,114
20,15,114
21,16,115
22,16,115
23,15,114
24,15,114
25,16,115
26,16,114
27,16,115
28,16,115
29,16,115
30,15,114
31,16,115
32,16,114
33,16,115
34,16,115
35,16,115
36,15,115
37,16,116
38,16,115
39,16,115
40,16,115
41,21,128
42,19,122
43,18,122
44,18,122
45,19,122
46,19,123
47,19,122
48,18,122
49,19,125
50,19,122
51,19,122
52,19,119
53,15,114
54,17,116
55,16,115
56,16,114
57,17,116
58,15,114
59,16,114
60,16,115
61,17,116
62,16,116
63,15,114
64,16,114
65,16,115
66,19,118
67,16,116
68,17,116
69,15,114
70,16,114
71,16,114
72,16,115
73,16,115
74,16,114
75,18,117
76,16,114
77,16,115
78,18,117
79,18,117
80,17,116
81,17,116
82,15,114
83,18,117
84,18,118
85,16,116
86,18,117
87,16,114
88,16,115
89,17,116
90,17,117
91,16,115
92,16,115
93,16,115
94,18,120
95,16,115
96,17,115
97,17,116
98,16,114
99,16,114
